idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,0.1,45
1,luminous-supreme-control_int100query,0.2,45
2,luminous-supreme-control_int100query,0.2,45
3,luminous-supreme-control_int100query,0.2,45
4,luminous-supreme-control_int100query,0.2,45
5,luminous-supreme-control_int100query,0.2,45
6,luminous-supreme-control_int100query,0.2,45
7,luminous-supreme-control_int100query,0.2,45
8,luminous-supreme-control_int100query,0.2,45
9,luminous-supreme-control_int100query,0.2,45
10,luminous-supreme-control_int100query,0.2,70
11,luminous-supreme-control_int100query,0.2,45
12,luminous-supreme-control_int100query,0.2,45
13,luminous-supreme-control_int100query,0.2,45
14,luminous-supreme-control_int100query,0.2,45
15,luminous-supreme-control_int100query,0.3,75
16,luminous-supreme-control_int100query,0.3,45
17,luminous-supreme-control_int100query,0.3,45
18,luminous-supreme-control_int100query,0.3,45
19,luminous-supreme-control_int100query,0.3,45
20,luminous-supreme-control_int100query,0.3,45
21,luminous-supreme-control_int100query,0.3,45
22,luminous-supreme-control_int100query,0.3,75
23,luminous-supreme-control_int100query,0.3,70
24,luminous-supreme-control_int100query,0.3,75
25,luminous-supreme-control_int100query,0.3,45
26,luminous-supreme-control_int100query,0.3,45
27,luminous-supreme-control_int100query,0.3,45
28,luminous-supreme-control_int100query,0.3,60
29,luminous-supreme-control_int100query,0.3,45
30,luminous-supreme-control_int100query,0.3,75
31,luminous-supreme-control_int100query,0.3,45
32,luminous-supreme-control_int100query,0.3,45
33,luminous-supreme-control_int100query,0.3,45
34,luminous-supreme-control_int100query,0.3,70
35,luminous-supreme-control_int100query,0.3,45
36,luminous-supreme-control_int100query,0.3,70
37,luminous-supreme-control_int100query,0.3,75
38,luminous-supreme-control_int100query,0.3,45
39,luminous-supreme-control_int100query,0.3,70
40,luminous-supreme-control_int100query,0.3,70
41,luminous-supreme-control_int100query,0.3,45
42,luminous-supreme-control_int100query,0.4,45
43,luminous-supreme-control_int100query,0.4,45
44,luminous-supreme-control_int100query,0.4,45
45,luminous-supreme-control_int100query,0.4,45
46,luminous-supreme-control_int100query,0.4,70
47,luminous-supreme-control_int100query,0.4,75
48,luminous-supreme-control_int100query,0.4,50
49,luminous-supreme-control_int100query,0.4,75
50,luminous-supreme-control_int100query,0.4,45
51,luminous-supreme-control_int100query,0.4,45
52,luminous-supreme-control_int100query,0.4,60
53,luminous-supreme-control_int100query,0.4,70
54,luminous-supreme-control_int100query,0.4,75
55,luminous-supreme-control_int100query,0.4,45
56,luminous-supreme-control_int100query,0.4,70
57,luminous-supreme-control_int100query,0.4,75
58,luminous-supreme-control_int100query,0.4,45
59,luminous-supreme-control_int100query,0.4,45
60,luminous-supreme-control_int100query,0.4,45
61,luminous-supreme-control_int100query,0.4,70
62,luminous-supreme-control_int100query,0.4,70
63,luminous-supreme-control_int100query,0.4,45
64,luminous-supreme-control_int100query,0.4,70
65,luminous-supreme-control_int100query,0.4,45
66,luminous-supreme-control_int100query,0.4,45
67,luminous-supreme-control_int100query,0.4,70
68,luminous-supreme-control_int100query,0.4,45
69,luminous-supreme-control_int100query,0.4,45
70,luminous-supreme-control_int100query,0.4,45
71,luminous-supreme-control_int100query,0.4,70
72,luminous-supreme-control_int100query,0.4,45
73,luminous-supreme-control_int100query,0.4,45
74,luminous-supreme-control_int100query,0.4,75
75,luminous-supreme-control_int100query,0.4,70
76,luminous-supreme-control_int100query,0.5,45
77,luminous-supreme-control_int100query,0.5,45
78,luminous-supreme-control_int100query,0.5,45
79,luminous-supreme-control_int100query,0.5,45
80,luminous-supreme-control_int100query,0.5,45
81,luminous-supreme-control_int100query,0.5,45
82,luminous-supreme-control_int100query,0.5,45
83,luminous-supreme-control_int100query,0.5,45
84,luminous-supreme-control_int100query,0.5,45
85,luminous-supreme-control_int100query,0.5,45
86,luminous-supreme-control_int100query,0.5,70
87,luminous-supreme-control_int100query,0.5,70
88,luminous-supreme-control_int100query,0.5,45
89,luminous-supreme-control_int100query,0.5,45
90,luminous-supreme-control_int100query,0.5,45
91,luminous-supreme-control_int100query,0.5,75
92,luminous-supreme-control_int100query,0.5,75
93,luminous-supreme-control_int100query,0.5,70
94,luminous-supreme-control_int100query,0.5,45
95,luminous-supreme-control_int100query,0.5,75
96,luminous-supreme-control_int100query,0.5,70
97,luminous-supreme-control_int100query,0.5,45
98,luminous-supreme-control_int100query,0.5,60
99,luminous-supreme-control_int100query,0.5,45
100,luminous-supreme-control_int100query,0.5,60
101,luminous-supreme-control_int100query,0.5,70
102,luminous-supreme-control_int100query,0.5,75
103,luminous-supreme-control_int100query,0.5,70
104,luminous-supreme-control_int100query,0.5,45
105,luminous-supreme-control_int100query,0.5,45
106,luminous-supreme-control_int100query,0.5,45
107,luminous-supreme-control_int100query,0.5,45
108,luminous-supreme-control_int100query,0.6,45
109,luminous-supreme-control_int100query,0.6,70
110,luminous-supreme-control_int100query,0.6,70
111,luminous-supreme-control_int100query,0.6,75
112,luminous-supreme-control_int100query,0.6,45
113,luminous-supreme-control_int100query,0.6,70
114,luminous-supreme-control_int100query,0.6,45
115,luminous-supreme-control_int100query,0.6,70
116,luminous-supreme-control_int100query,0.6,45
117,luminous-supreme-control_int100query,0.6,45
118,luminous-supreme-control_int100query,0.6,70
119,luminous-supreme-control_int100query,0.6,75
120,luminous-supreme-control_int100query,0.6,45
