idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,0.2,70
1,luminous-supreme-control_int100query,0.3,70
2,luminous-supreme-control_int100query,0.4,45
3,luminous-supreme-control_int100query,0.4,70
4,luminous-supreme-control_int100query,0.4,75
5,luminous-supreme-control_int100query,0.4,70
6,luminous-supreme-control_int100query,0.5,60
7,luminous-supreme-control_int100query,0.5,73
8,luminous-supreme-control_int100query,0.5,45
9,luminous-supreme-control_int100query,0.5,45
10,luminous-supreme-control_int100query,0.5,70
11,luminous-supreme-control_int100query,0.5,45
12,luminous-supreme-control_int100query,0.5,70
13,luminous-supreme-control_int100query,0.5,73
14,luminous-supreme-control_int100query,0.5,60
15,luminous-supreme-control_int100query,0.5,70
16,luminous-supreme-control_int100query,0.5,73
17,luminous-supreme-control_int100query,0.5,70
18,luminous-supreme-control_int100query,0.6,45
19,luminous-supreme-control_int100query,0.6,75
20,luminous-supreme-control_int100query,0.6,73
21,luminous-supreme-control_int100query,0.6,45
22,luminous-supreme-control_int100query,0.6,73
23,luminous-supreme-control_int100query,0.6,60
24,luminous-supreme-control_int100query,0.6,73
25,luminous-supreme-control_int100query,0.6,60
26,luminous-supreme-control_int100query,0.6,75
27,luminous-supreme-control_int100query,0.6,73
28,luminous-supreme-control_int100query,0.6,45
29,luminous-supreme-control_int100query,0.6,60
30,luminous-supreme-control_int100query,0.6,73
31,luminous-supreme-control_int100query,0.6,73
32,luminous-supreme-control_int100query,0.6,70
33,luminous-supreme-control_int100query,0.6,70
34,luminous-supreme-control_int100query,0.6,75
35,luminous-supreme-control_int100query,0.6,70
36,luminous-supreme-control_int100query,0.6,45
37,luminous-supreme-control_int100query,0.6,70
38,luminous-supreme-control_int100query,0.6,70
39,luminous-supreme-control_int100query,0.7,70
40,luminous-supreme-control_int100query,0.7,70
41,luminous-supreme-control_int100query,0.7,73
42,luminous-supreme-control_int100query,0.7,73
43,luminous-supreme-control_int100query,0.7,75
44,luminous-supreme-control_int100query,0.7,70
45,luminous-supreme-control_int100query,0.7,73
46,luminous-supreme-control_int100query,0.7,70
47,luminous-supreme-control_int100query,0.7,70
48,luminous-supreme-control_int100query,0.7,73
49,luminous-supreme-control_int100query,0.7,73
50,luminous-supreme-control_int100query,0.7,73
51,luminous-supreme-control_int100query,0.7,45
52,luminous-supreme-control_int100query,0.7,30
53,luminous-supreme-control_int100query,0.7,60
54,luminous-supreme-control_int100query,0.7,60
55,luminous-supreme-control_int100query,0.7,60
56,luminous-supreme-control_int100query,0.7,45
57,luminous-supreme-control_int100query,0.7,70
58,luminous-supreme-control_int100query,0.7,60
59,luminous-supreme-control_int100query,0.7,70
60,luminous-supreme-control_int100query,0.7,60
61,luminous-supreme-control_int100query,0.7,45
62,luminous-supreme-control_int100query,0.7,60
63,luminous-supreme-control_int100query,0.7,70
64,luminous-supreme-control_int100query,0.7,70
65,luminous-supreme-control_int100query,0.7,70
66,luminous-supreme-control_int100query,0.7,70
67,luminous-supreme-control_int100query,0.7,70
68,luminous-supreme-control_int100query,0.7,70
69,luminous-supreme-control_int100query,0.7,70
70,luminous-supreme-control_int100query,0.7,70
71,luminous-supreme-control_int100query,0.7,45
72,luminous-supreme-control_int100query,0.7,73
73,luminous-supreme-control_int100query,0.7,60
74,luminous-supreme-control_int100query,0.7,70
75,luminous-supreme-control_int100query,0.7,73
76,luminous-supreme-control_int100query,0.7,73
77,luminous-supreme-control_int100query,0.7,60
78,luminous-supreme-control_int100query,0.7,73
79,luminous-supreme-control_int100query,0.7,70
80,luminous-supreme-control_int100query,0.7,70
81,luminous-supreme-control_int100query,0.8,75
82,luminous-supreme-control_int100query,0.8,73
83,luminous-supreme-control_int100query,0.8,45
84,luminous-supreme-control_int100query,0.8,73
85,luminous-supreme-control_int100query,0.8,70
86,luminous-supreme-control_int100query,0.8,45
87,luminous-supreme-control_int100query,0.8,75
88,luminous-supreme-control_int100query,0.8,70
89,luminous-supreme-control_int100query,0.8,70
90,luminous-supreme-control_int100query,0.8,73
91,luminous-supreme-control_int100query,0.8,60
92,luminous-supreme-control_int100query,0.8,73
93,luminous-supreme-control_int100query,0.8,73
94,luminous-supreme-control_int100query,0.8,70
95,luminous-supreme-control_int100query,0.8,70
96,luminous-supreme-control_int100query,0.8,70
97,luminous-supreme-control_int100query,0.8,75
98,luminous-supreme-control_int100query,0.8,60
99,luminous-supreme-control_int100query,0.8,70
100,luminous-supreme-control_int100query,0.8,70
101,luminous-supreme-control_int100query,0.8,75
102,luminous-supreme-control_int100query,0.8,70
103,luminous-supreme-control_int100query,0.8,60
104,luminous-supreme-control_int100query,0.8,75
105,luminous-supreme-control_int100query,0.8,75
106,luminous-supreme-control_int100query,0.8,70
107,luminous-supreme-control_int100query,0.8,45
108,luminous-supreme-control_int100query,0.8,70
109,luminous-supreme-control_int100query,0.8,45
110,luminous-supreme-control_int100query,0.8,60
111,luminous-supreme-control_int100query,0.8,75
112,luminous-supreme-control_int100query,0.8,70
113,luminous-supreme-control_int100query,0.8,70
114,luminous-supreme-control_int100query,0.8,70
115,luminous-supreme-control_int100query,0.8,75
116,luminous-supreme-control_int100query,0.8,70
117,luminous-supreme-control_int100query,0.8,30
118,luminous-supreme-control_int100query,0.9,45
119,luminous-supreme-control_int100query,0.9,60
120,luminous-supreme-control_int100query,0.9,73
121,luminous-supreme-control_int100query,0.9,70
122,luminous-supreme-control_int100query,0.9,73
123,luminous-supreme-control_int100query,0.9,70
124,luminous-supreme-control_int100query,0.9,60
125,luminous-supreme-control_int100query,0.9,70
126,luminous-supreme-control_int100query,0.9,70
127,luminous-supreme-control_int100query,0.9,70
128,luminous-supreme-control_int100query,0.9,75
