idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,0.0,75
1,luminous-supreme-control_int100query,0.0,75
2,luminous-supreme-control_int100query,0.0,75
3,luminous-supreme-control_int100query,0.0,75
4,luminous-supreme-control_int100query,0.0,75
5,luminous-supreme-control_int100query,0.0,75
6,luminous-supreme-control_int100query,0.0,75
7,luminous-supreme-control_int100query,0.0,75
8,luminous-supreme-control_int100query,0.0,75
9,luminous-supreme-control_int100query,0.0,75
10,luminous-supreme-control_int100query,0.0,75
11,luminous-supreme-control_int100query,0.0,75
12,luminous-supreme-control_int100query,0.0,75
13,luminous-supreme-control_int100query,0.0,75
14,luminous-supreme-control_int100query,0.0,75
15,luminous-supreme-control_int100query,0.0,75
16,luminous-supreme-control_int100query,0.0,60
17,luminous-supreme-control_int100query,0.0,60
18,luminous-supreme-control_int100query,0.0,60
19,luminous-supreme-control_int100query,0.0,60
20,luminous-supreme-control_int100query,0.0,60
21,luminous-supreme-control_int100query,0.0,60
22,luminous-supreme-control_int100query,0.0,60
23,luminous-supreme-control_int100query,0.0,60
24,luminous-supreme-control_int100query,0.0,60
25,luminous-supreme-control_int100query,0.0,60
26,luminous-supreme-control_int100query,0.0,60
27,luminous-supreme-control_int100query,0.0,60
28,luminous-supreme-control_int100query,0.0,60
29,luminous-supreme-control_int100query,0.0,60
30,luminous-supreme-control_int100query,0.0,60
31,luminous-supreme-control_int100query,0.0,60
32,luminous-supreme-control_int100query,0.0,60
33,luminous-supreme-control_int100query,0.0,60
34,luminous-supreme-control_int100query,0.0,60
35,luminous-supreme-control_int100query,0.0,60
36,luminous-supreme-control_int100query,0.0,60
37,luminous-supreme-control_int100query,0.0,60
38,luminous-supreme-control_int100query,0.0,60
39,luminous-supreme-control_int100query,0.0,60
40,luminous-supreme-control_int100query,0.0,60
41,luminous-supreme-control_int100query,0.0,60
42,luminous-supreme-control_int100query,0.0,60
43,luminous-supreme-control_int100query,0.0,60
44,luminous-supreme-control_int100query,0.0,60
45,luminous-supreme-control_int100query,0.0,60
46,luminous-supreme-control_int100query,0.0,60
47,luminous-supreme-control_int100query,0.0,60
48,luminous-supreme-control_int100query,0.0,60
49,luminous-supreme-control_int100query,0.0,60
50,luminous-supreme-control_int100query,0.0,60
51,luminous-supreme-control_int100query,0.0,60
52,luminous-supreme-control_int100query,0.0,60
53,luminous-supreme-control_int100query,0.0,60
54,luminous-supreme-control_int100query,0.0,60
55,luminous-supreme-control_int100query,0.0,60
56,luminous-supreme-control_int100query,0.0,60
57,luminous-supreme-control_int100query,0.0,60
58,luminous-supreme-control_int100query,0.0,60
59,luminous-supreme-control_int100query,0.0,60
60,luminous-supreme-control_int100query,0.0,60
61,luminous-supreme-control_int100query,0.0,60
62,luminous-supreme-control_int100query,0.0,60
63,luminous-supreme-control_int100query,0.0,60
64,luminous-supreme-control_int100query,0.0,60
65,luminous-supreme-control_int100query,0.0,60
66,luminous-supreme-control_int100query,0.0,60
67,luminous-supreme-control_int100query,0.0,60
68,luminous-supreme-control_int100query,0.0,60
69,luminous-supreme-control_int100query,0.0,60
70,luminous-supreme-control_int100query,0.0,60
71,luminous-supreme-control_int100query,0.0,60
72,luminous-supreme-control_int100query,0.0,60
73,luminous-supreme-control_int100query,0.0,60
74,luminous-supreme-control_int100query,0.0,60
75,luminous-supreme-control_int100query,0.0,60
76,luminous-supreme-control_int100query,0.0,60
77,luminous-supreme-control_int100query,0.0,60
78,luminous-supreme-control_int100query,0.0,60
79,luminous-supreme-control_int100query,0.0,60
80,luminous-supreme-control_int100query,0.0,60
81,luminous-supreme-control_int100query,0.0,60
82,luminous-supreme-control_int100query,0.0,60
83,luminous-supreme-control_int100query,0.0,60
84,luminous-supreme-control_int100query,0.0,60
85,luminous-supreme-control_int100query,0.0,60
86,luminous-supreme-control_int100query,0.0,60
87,luminous-supreme-control_int100query,0.0,60
88,luminous-supreme-control_int100query,0.0,60
89,luminous-supreme-control_int100query,0.0,60
90,luminous-supreme-control_int100query,0.0,60
91,luminous-supreme-control_int100query,0.0,60
92,luminous-supreme-control_int100query,0.0,60
93,luminous-supreme-control_int100query,0.0,60
94,luminous-supreme-control_int100query,0.0,60
95,luminous-supreme-control_int100query,0.0,60
96,luminous-supreme-control_int100query,0.0,60
97,luminous-supreme-control_int100query,0.0,60
98,luminous-supreme-control_int100query,0.0,60
99,luminous-supreme-control_int100query,0.0,60
100,luminous-supreme-control_int100query,0.1,75
101,luminous-supreme-control_int100query,0.1,60
102,luminous-supreme-control_int100query,0.1,75
103,luminous-supreme-control_int100query,0.1,60
104,luminous-supreme-control_int100query,0.1,75
105,luminous-supreme-control_int100query,0.1,60
106,luminous-supreme-control_int100query,0.1,73
107,luminous-supreme-control_int100query,0.1,60
