idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,0.0,75
1,luminous-supreme-control_int100query,0.0,75
2,luminous-supreme-control_int100query,0.0,75
3,luminous-supreme-control_int100query,0.0,75
4,luminous-supreme-control_int100query,0.0,75
5,luminous-supreme-control_int100query,0.0,75
6,luminous-supreme-control_int100query,0.0,75
7,luminous-supreme-control_int100query,0.0,75
8,luminous-supreme-control_int100query,0.0,75
9,luminous-supreme-control_int100query,0.0,75
10,luminous-supreme-control_int100query,0.0,75
11,luminous-supreme-control_int100query,0.0,75
12,luminous-supreme-control_int100query,0.0,75
13,luminous-supreme-control_int100query,0.0,75
14,luminous-supreme-control_int100query,0.0,75
15,luminous-supreme-control_int100query,0.0,75
16,luminous-supreme-control_int100query,0.0,75
17,luminous-supreme-control_int100query,0.0,75
18,luminous-supreme-control_int100query,0.0,75
19,luminous-supreme-control_int100query,0.0,75
20,luminous-supreme-control_int100query,0.0,75
21,luminous-supreme-control_int100query,0.0,75
22,luminous-supreme-control_int100query,0.0,75
23,luminous-supreme-control_int100query,0.0,75
24,luminous-supreme-control_int100query,0.0,75
25,luminous-supreme-control_int100query,0.0,75
26,luminous-supreme-control_int100query,0.0,75
27,luminous-supreme-control_int100query,0.0,75
28,luminous-supreme-control_int100query,0.0,75
29,luminous-supreme-control_int100query,0.0,75
30,luminous-supreme-control_int100query,0.0,75
31,luminous-supreme-control_int100query,0.0,75
32,luminous-supreme-control_int100query,0.0,75
33,luminous-supreme-control_int100query,0.0,75
34,luminous-supreme-control_int100query,0.0,75
35,luminous-supreme-control_int100query,0.0,75
36,luminous-supreme-control_int100query,0.0,75
37,luminous-supreme-control_int100query,0.0,75
38,luminous-supreme-control_int100query,0.0,75
39,luminous-supreme-control_int100query,0.0,75
40,luminous-supreme-control_int100query,0.0,75
41,luminous-supreme-control_int100query,0.0,75
42,luminous-supreme-control_int100query,0.0,75
43,luminous-supreme-control_int100query,0.0,75
44,luminous-supreme-control_int100query,0.0,75
45,luminous-supreme-control_int100query,0.0,75
46,luminous-supreme-control_int100query,0.0,75
47,luminous-supreme-control_int100query,0.0,75
48,luminous-supreme-control_int100query,0.0,75
49,luminous-supreme-control_int100query,0.0,75
50,luminous-supreme-control_int100query,0.0,75
51,luminous-supreme-control_int100query,0.0,75
52,luminous-supreme-control_int100query,0.0,75
53,luminous-supreme-control_int100query,0.0,75
54,luminous-supreme-control_int100query,0.0,75
55,luminous-supreme-control_int100query,0.0,75
56,luminous-supreme-control_int100query,0.0,75
57,luminous-supreme-control_int100query,0.0,75
58,luminous-supreme-control_int100query,0.0,75
59,luminous-supreme-control_int100query,0.0,75
60,luminous-supreme-control_int100query,0.0,75
61,luminous-supreme-control_int100query,0.0,75
62,luminous-supreme-control_int100query,0.0,75
63,luminous-supreme-control_int100query,0.0,75
64,luminous-supreme-control_int100query,0.0,75
65,luminous-supreme-control_int100query,0.0,75
66,luminous-supreme-control_int100query,0.0,75
67,luminous-supreme-control_int100query,0.0,75
68,luminous-supreme-control_int100query,0.0,75
69,luminous-supreme-control_int100query,0.0,75
70,luminous-supreme-control_int100query,0.0,75
71,luminous-supreme-control_int100query,0.0,75
72,luminous-supreme-control_int100query,0.0,75
73,luminous-supreme-control_int100query,0.0,75
74,luminous-supreme-control_int100query,0.0,75
75,luminous-supreme-control_int100query,0.0,75
76,luminous-supreme-control_int100query,0.0,75
77,luminous-supreme-control_int100query,0.0,75
78,luminous-supreme-control_int100query,0.0,75
79,luminous-supreme-control_int100query,0.0,75
80,luminous-supreme-control_int100query,0.0,75
81,luminous-supreme-control_int100query,0.0,75
82,luminous-supreme-control_int100query,0.0,75
83,luminous-supreme-control_int100query,0.0,75
84,luminous-supreme-control_int100query,0.0,75
85,luminous-supreme-control_int100query,0.0,75
86,luminous-supreme-control_int100query,0.0,75
87,luminous-supreme-control_int100query,0.0,75
88,luminous-supreme-control_int100query,0.0,75
89,luminous-supreme-control_int100query,0.0,75
90,luminous-supreme-control_int100query,0.0,75
91,luminous-supreme-control_int100query,0.0,75
92,luminous-supreme-control_int100query,0.0,75
93,luminous-supreme-control_int100query,0.0,75
94,luminous-supreme-control_int100query,0.0,75
95,luminous-supreme-control_int100query,0.0,75
96,luminous-supreme-control_int100query,0.0,75
97,luminous-supreme-control_int100query,0.0,75
98,luminous-supreme-control_int100query,0.0,75
99,luminous-supreme-control_int100query,0.0,75
100,luminous-supreme-control_int100query,0.1,75
101,luminous-supreme-control_int100query,0.1,75
102,luminous-supreme-control_int100query,0.1,75
103,luminous-supreme-control_int100query,0.1,75
104,luminous-supreme-control_int100query,0.1,75
105,luminous-supreme-control_int100query,0.1,75
106,luminous-supreme-control_int100query,0.1,75
107,luminous-supreme-control_int100query,0.1,75
