idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,0.01,70
1,luminous-supreme-control_int100query,0.01,70
2,luminous-supreme-control_int100query,0.01,70
3,luminous-supreme-control_int100query,0.01,70
4,luminous-supreme-control_int100query,0.01,70
5,luminous-supreme-control_int100query,0.01,70
6,luminous-supreme-control_int100query,0.01,70
7,luminous-supreme-control_int100query,0.01,70
8,luminous-supreme-control_int100query,0.01,70
9,luminous-supreme-control_int100query,0.01,70
10,luminous-supreme-control_int100query,0.01,70
11,luminous-supreme-control_int100query,0.01,70
12,luminous-supreme-control_int100query,0.01,70
13,luminous-supreme-control_int100query,0.01,70
14,luminous-supreme-control_int100query,0.01,70
15,luminous-supreme-control_int100query,0.01,70
16,luminous-supreme-control_int100query,0.01,70
17,luminous-supreme-control_int100query,0.01,70
18,luminous-supreme-control_int100query,0.01,70
19,luminous-supreme-control_int100query,0.01,70
20,luminous-supreme-control_int100query,0.01,70
21,luminous-supreme-control_int100query,0.01,70
22,luminous-supreme-control_int100query,0.01,70
23,luminous-supreme-control_int100query,0.01,70
24,luminous-supreme-control_int100query,0.01,70
25,luminous-supreme-control_int100query,0.01,70
26,luminous-supreme-control_int100query,0.01,70
27,luminous-supreme-control_int100query,0.01,70
28,luminous-supreme-control_int100query,0.01,70
29,luminous-supreme-control_int100query,0.01,70
30,luminous-supreme-control_int100query,0.01,70
31,luminous-supreme-control_int100query,0.01,70
32,luminous-supreme-control_int100query,0.01,70
33,luminous-supreme-control_int100query,0.01,70
34,luminous-supreme-control_int100query,0.01,70
35,luminous-supreme-control_int100query,0.01,70
36,luminous-supreme-control_int100query,0.01,70
37,luminous-supreme-control_int100query,0.01,70
38,luminous-supreme-control_int100query,0.01,70
39,luminous-supreme-control_int100query,0.01,70
40,luminous-supreme-control_int100query,0.01,70
41,luminous-supreme-control_int100query,0.01,70
42,luminous-supreme-control_int100query,0.01,70
43,luminous-supreme-control_int100query,0.01,70
44,luminous-supreme-control_int100query,0.01,70
45,luminous-supreme-control_int100query,0.01,70
46,luminous-supreme-control_int100query,0.01,70
47,luminous-supreme-control_int100query,0.01,70
48,luminous-supreme-control_int100query,0.01,70
49,luminous-supreme-control_int100query,0.01,70
50,luminous-supreme-control_int100query,0.01,70
51,luminous-supreme-control_int100query,0.01,70
52,luminous-supreme-control_int100query,0.01,70
53,luminous-supreme-control_int100query,0.01,70
54,luminous-supreme-control_int100query,0.01,70
55,luminous-supreme-control_int100query,0.01,70
56,luminous-supreme-control_int100query,0.01,70
57,luminous-supreme-control_int100query,0.01,70
58,luminous-supreme-control_int100query,0.01,70
59,luminous-supreme-control_int100query,0.01,70
60,luminous-supreme-control_int100query,0.01,70
61,luminous-supreme-control_int100query,0.01,70
62,luminous-supreme-control_int100query,0.01,70
63,luminous-supreme-control_int100query,0.01,70
64,luminous-supreme-control_int100query,0.01,70
65,luminous-supreme-control_int100query,0.01,70
66,luminous-supreme-control_int100query,0.01,70
67,luminous-supreme-control_int100query,0.01,70
68,luminous-supreme-control_int100query,0.01,70
69,luminous-supreme-control_int100query,0.01,70
70,luminous-supreme-control_int100query,0.01,70
71,luminous-supreme-control_int100query,0.01,70
72,luminous-supreme-control_int100query,0.01,70
73,luminous-supreme-control_int100query,0.01,70
74,luminous-supreme-control_int100query,0.01,70
75,luminous-supreme-control_int100query,0.01,70
76,luminous-supreme-control_int100query,0.01,70
77,luminous-supreme-control_int100query,0.01,70
78,luminous-supreme-control_int100query,0.01,70
79,luminous-supreme-control_int100query,0.01,70
80,luminous-supreme-control_int100query,0.01,70
81,luminous-supreme-control_int100query,0.01,70
82,luminous-supreme-control_int100query,0.01,70
83,luminous-supreme-control_int100query,0.01,70
84,luminous-supreme-control_int100query,0.01,70
85,luminous-supreme-control_int100query,0.01,70
86,luminous-supreme-control_int100query,0.01,70
87,luminous-supreme-control_int100query,0.01,70
88,luminous-supreme-control_int100query,0.01,70
89,luminous-supreme-control_int100query,0.01,70
90,luminous-supreme-control_int100query,0.01,70
91,luminous-supreme-control_int100query,0.01,70
92,luminous-supreme-control_int100query,0.01,70
93,luminous-supreme-control_int100query,0.01,70
94,luminous-supreme-control_int100query,0.01,70
95,luminous-supreme-control_int100query,0.01,70
96,luminous-supreme-control_int100query,0.01,70
97,luminous-supreme-control_int100query,0.01,70
98,luminous-supreme-control_int100query,0.01,70
99,luminous-supreme-control_int100query,0.01,70
100,luminous-supreme-control_int100query,0.1,70
101,luminous-supreme-control_int100query,0.1,70
102,luminous-supreme-control_int100query,0.1,70
103,luminous-supreme-control_int100query,0.1,70
104,luminous-supreme-control_int100query,0.1,70
105,luminous-supreme-control_int100query,0.1,70
106,luminous-supreme-control_int100query,0.1,70
107,luminous-supreme-control_int100query,0.1,70
108,luminous-supreme-control_int100query,0.1,70
109,luminous-supreme-control_int100query,0.1,70
110,luminous-supreme-control_int100query,0.1,70
111,luminous-supreme-control_int100query,0.1,70
112,luminous-supreme-control_int100query,0.1,70
113,luminous-supreme-control_int100query,0.1,70
114,luminous-supreme-control_int100query,0.1,70
115,luminous-supreme-control_int100query,0.1,70
116,luminous-supreme-control_int100query,0.1,70
117,luminous-supreme-control_int100query,0.1,70
118,luminous-supreme-control_int100query,0.1,70
119,luminous-supreme-control_int100query,0.1,70
120,luminous-supreme-control_int100query,0.1,70
121,luminous-supreme-control_int100query,0.1,70
122,luminous-supreme-control_int100query,0.1,70
123,luminous-supreme-control_int100query,0.1,70
124,luminous-supreme-control_int100query,0.1,70
125,luminous-supreme-control_int100query,0.1,70
126,luminous-supreme-control_int100query,0.1,70
127,luminous-supreme-control_int100query,0.1,70
128,luminous-supreme-control_int100query,0.1,70
129,luminous-supreme-control_int100query,0.1,70
130,luminous-supreme-control_int100query,0.1,70
131,luminous-supreme-control_int100query,0.1,70
132,luminous-supreme-control_int100query,0.1,70
133,luminous-supreme-control_int100query,0.1,70
134,luminous-supreme-control_int100query,0.1,70
135,luminous-supreme-control_int100query,0.1,70
136,luminous-supreme-control_int100query,0.1,70
137,luminous-supreme-control_int100query,0.1,70
138,luminous-supreme-control_int100query,0.1,70
139,luminous-supreme-control_int100query,0.1,70
140,luminous-supreme-control_int100query,0.1,70
141,luminous-supreme-control_int100query,0.1,70
142,luminous-supreme-control_int100query,0.1,70
143,luminous-supreme-control_int100query,0.1,70
144,luminous-supreme-control_int100query,0.1,70
145,luminous-supreme-control_int100query,0.1,70
146,luminous-supreme-control_int100query,0.1,70
147,luminous-supreme-control_int100query,0.1,70
148,luminous-supreme-control_int100query,0.1,70
149,luminous-supreme-control_int100query,0.1,70
150,luminous-supreme-control_int100query,0.1,70
151,luminous-supreme-control_int100query,0.1,70
152,luminous-supreme-control_int100query,0.1,70
153,luminous-supreme-control_int100query,0.1,70
154,luminous-supreme-control_int100query,0.1,70
155,luminous-supreme-control_int100query,0.1,70
156,luminous-supreme-control_int100query,0.1,70
157,luminous-supreme-control_int100query,0.1,70
158,luminous-supreme-control_int100query,0.1,70
159,luminous-supreme-control_int100query,0.1,70
160,luminous-supreme-control_int100query,0.1,70
161,luminous-supreme-control_int100query,0.1,70
162,luminous-supreme-control_int100query,0.1,70
163,luminous-supreme-control_int100query,0.1,70
164,luminous-supreme-control_int100query,0.1,70
165,luminous-supreme-control_int100query,0.1,70
166,luminous-supreme-control_int100query,0.1,70
167,luminous-supreme-control_int100query,0.1,70
168,luminous-supreme-control_int100query,0.1,70
169,luminous-supreme-control_int100query,0.1,70
170,luminous-supreme-control_int100query,0.1,70
171,luminous-supreme-control_int100query,0.1,70
172,luminous-supreme-control_int100query,0.1,70
173,luminous-supreme-control_int100query,0.1,70
174,luminous-supreme-control_int100query,0.1,70
175,luminous-supreme-control_int100query,0.1,70
176,luminous-supreme-control_int100query,0.1,70
177,luminous-supreme-control_int100query,0.1,70
178,luminous-supreme-control_int100query,0.1,70
179,luminous-supreme-control_int100query,0.1,70
180,luminous-supreme-control_int100query,0.1,70
181,luminous-supreme-control_int100query,0.1,70
182,luminous-supreme-control_int100query,0.1,70
183,luminous-supreme-control_int100query,0.1,70
184,luminous-supreme-control_int100query,0.1,70
185,luminous-supreme-control_int100query,0.1,70
186,luminous-supreme-control_int100query,0.1,70
187,luminous-supreme-control_int100query,0.1,70
188,luminous-supreme-control_int100query,0.1,70
189,luminous-supreme-control_int100query,0.1,70
190,luminous-supreme-control_int100query,0.1,70
191,luminous-supreme-control_int100query,0.1,70
192,luminous-supreme-control_int100query,0.1,70
193,luminous-supreme-control_int100query,0.1,70
194,luminous-supreme-control_int100query,0.1,70
195,luminous-supreme-control_int100query,0.1,70
196,luminous-supreme-control_int100query,0.1,70
197,luminous-supreme-control_int100query,0.1,70
198,luminous-supreme-control_int100query,0.1,70
199,luminous-supreme-control_int100query,0.1,70
200,luminous-supreme-control_int100query,0.2,70
201,luminous-supreme-control_int100query,0.2,70
202,luminous-supreme-control_int100query,0.2,70
203,luminous-supreme-control_int100query,0.2,75
204,luminous-supreme-control_int100query,0.2,70
205,luminous-supreme-control_int100query,0.2,70
206,luminous-supreme-control_int100query,0.2,70
207,luminous-supreme-control_int100query,0.2,70
208,luminous-supreme-control_int100query,0.2,70
209,luminous-supreme-control_int100query,0.2,70
210,luminous-supreme-control_int100query,0.2,70
211,luminous-supreme-control_int100query,0.2,70
212,luminous-supreme-control_int100query,0.2,70
213,luminous-supreme-control_int100query,0.2,70
214,luminous-supreme-control_int100query,0.2,70
215,luminous-supreme-control_int100query,0.2,70
216,luminous-supreme-control_int100query,0.2,70
217,luminous-supreme-control_int100query,0.2,75
218,luminous-supreme-control_int100query,0.2,70
219,luminous-supreme-control_int100query,0.2,70
220,luminous-supreme-control_int100query,0.2,70
221,luminous-supreme-control_int100query,0.2,70
222,luminous-supreme-control_int100query,0.2,70
223,luminous-supreme-control_int100query,0.2,70
224,luminous-supreme-control_int100query,0.2,70
225,luminous-supreme-control_int100query,0.2,70
226,luminous-supreme-control_int100query,0.2,70
227,luminous-supreme-control_int100query,0.2,70
228,luminous-supreme-control_int100query,0.2,70
229,luminous-supreme-control_int100query,0.2,75
230,luminous-supreme-control_int100query,0.2,70
231,luminous-supreme-control_int100query,0.2,70
232,luminous-supreme-control_int100query,0.2,70
233,luminous-supreme-control_int100query,0.2,70
234,luminous-supreme-control_int100query,0.2,75
235,luminous-supreme-control_int100query,0.2,70
236,luminous-supreme-control_int100query,0.2,70
237,luminous-supreme-control_int100query,0.2,70
238,luminous-supreme-control_int100query,0.2,75
239,luminous-supreme-control_int100query,0.2,70
240,luminous-supreme-control_int100query,0.2,70
241,luminous-supreme-control_int100query,0.2,75
242,luminous-supreme-control_int100query,0.2,70
243,luminous-supreme-control_int100query,0.2,70
244,luminous-supreme-control_int100query,0.2,70
245,luminous-supreme-control_int100query,0.2,70
246,luminous-supreme-control_int100query,0.2,70
247,luminous-supreme-control_int100query,0.2,70
248,luminous-supreme-control_int100query,0.2,70
249,luminous-supreme-control_int100query,0.2,70
250,luminous-supreme-control_int100query,0.2,70
251,luminous-supreme-control_int100query,0.2,75
252,luminous-supreme-control_int100query,0.2,70
253,luminous-supreme-control_int100query,0.2,70
254,luminous-supreme-control_int100query,0.2,75
255,luminous-supreme-control_int100query,0.2,70
256,luminous-supreme-control_int100query,0.2,75
257,luminous-supreme-control_int100query,0.2,70
258,luminous-supreme-control_int100query,0.2,75
259,luminous-supreme-control_int100query,0.2,70
260,luminous-supreme-control_int100query,0.2,75
261,luminous-supreme-control_int100query,0.2,70
262,luminous-supreme-control_int100query,0.2,70
263,luminous-supreme-control_int100query,0.2,75
264,luminous-supreme-control_int100query,0.2,70
265,luminous-supreme-control_int100query,0.2,70
266,luminous-supreme-control_int100query,0.2,70
267,luminous-supreme-control_int100query,0.2,70
268,luminous-supreme-control_int100query,0.2,70
269,luminous-supreme-control_int100query,0.2,70
270,luminous-supreme-control_int100query,0.2,70
271,luminous-supreme-control_int100query,0.2,75
272,luminous-supreme-control_int100query,0.2,75
273,luminous-supreme-control_int100query,0.2,70
274,luminous-supreme-control_int100query,0.2,70
275,luminous-supreme-control_int100query,0.2,75
276,luminous-supreme-control_int100query,0.2,70
277,luminous-supreme-control_int100query,0.2,75
278,luminous-supreme-control_int100query,0.2,70
279,luminous-supreme-control_int100query,0.2,75
280,luminous-supreme-control_int100query,0.2,75
281,luminous-supreme-control_int100query,0.2,75
282,luminous-supreme-control_int100query,0.2,70
283,luminous-supreme-control_int100query,0.2,70
284,luminous-supreme-control_int100query,0.2,70
285,luminous-supreme-control_int100query,0.2,70
286,luminous-supreme-control_int100query,0.2,70
287,luminous-supreme-control_int100query,0.2,75
288,luminous-supreme-control_int100query,0.2,70
289,luminous-supreme-control_int100query,0.2,70
290,luminous-supreme-control_int100query,0.2,70
291,luminous-supreme-control_int100query,0.2,75
292,luminous-supreme-control_int100query,0.2,75
293,luminous-supreme-control_int100query,0.2,70
294,luminous-supreme-control_int100query,0.2,70
295,luminous-supreme-control_int100query,0.2,70
296,luminous-supreme-control_int100query,0.2,75
297,luminous-supreme-control_int100query,0.2,70
298,luminous-supreme-control_int100query,0.2,70
299,luminous-supreme-control_int100query,0.2,70
300,luminous-supreme-control_int100query,0.3,60
301,luminous-supreme-control_int100query,0.3,60
302,luminous-supreme-control_int100query,0.3,70
303,luminous-supreme-control_int100query,0.3,70
304,luminous-supreme-control_int100query,0.3,60
305,luminous-supreme-control_int100query,0.3,70
306,luminous-supreme-control_int100query,0.3,75
307,luminous-supreme-control_int100query,0.3,60
308,luminous-supreme-control_int100query,0.3,70
309,luminous-supreme-control_int100query,0.3,70
310,luminous-supreme-control_int100query,0.3,75
311,luminous-supreme-control_int100query,0.3,60
312,luminous-supreme-control_int100query,0.3,75
313,luminous-supreme-control_int100query,0.3,60
314,luminous-supreme-control_int100query,0.3,60
315,luminous-supreme-control_int100query,0.3,75
316,luminous-supreme-control_int100query,0.3,70
317,luminous-supreme-control_int100query,0.3,70
318,luminous-supreme-control_int100query,0.3,75
319,luminous-supreme-control_int100query,0.3,75
320,luminous-supreme-control_int100query,0.3,75
321,luminous-supreme-control_int100query,0.3,60
322,luminous-supreme-control_int100query,0.3,60
323,luminous-supreme-control_int100query,0.3,70
324,luminous-supreme-control_int100query,0.3,70
325,luminous-supreme-control_int100query,0.3,70
326,luminous-supreme-control_int100query,0.3,70
327,luminous-supreme-control_int100query,0.3,75
328,luminous-supreme-control_int100query,0.3,60
329,luminous-supreme-control_int100query,0.3,45
330,luminous-supreme-control_int100query,0.3,45
331,luminous-supreme-control_int100query,0.3,70
332,luminous-supreme-control_int100query,0.3,75
333,luminous-supreme-control_int100query,0.3,70
334,luminous-supreme-control_int100query,0.3,70
335,luminous-supreme-control_int100query,0.3,70
336,luminous-supreme-control_int100query,0.3,45
337,luminous-supreme-control_int100query,0.3,60
338,luminous-supreme-control_int100query,0.3,60
339,luminous-supreme-control_int100query,0.3,70
