idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,0.01,70
1,luminous-supreme-control_int100query,0.01,70
2,luminous-supreme-control_int100query,0.01,70
3,luminous-supreme-control_int100query,0.01,70
4,luminous-supreme-control_int100query,0.01,70
5,luminous-supreme-control_int100query,0.01,70
6,luminous-supreme-control_int100query,0.01,70
7,luminous-supreme-control_int100query,0.01,70
8,luminous-supreme-control_int100query,0.01,70
9,luminous-supreme-control_int100query,0.01,70
10,luminous-supreme-control_int100query,0.01,70
11,luminous-supreme-control_int100query,0.01,70
12,luminous-supreme-control_int100query,0.01,70
13,luminous-supreme-control_int100query,0.01,70
14,luminous-supreme-control_int100query,0.01,70
15,luminous-supreme-control_int100query,0.01,70
16,luminous-supreme-control_int100query,0.01,45
17,luminous-supreme-control_int100query,0.01,45
18,luminous-supreme-control_int100query,0.01,45
19,luminous-supreme-control_int100query,0.01,45
20,luminous-supreme-control_int100query,0.01,45
21,luminous-supreme-control_int100query,0.01,45
22,luminous-supreme-control_int100query,0.01,45
23,luminous-supreme-control_int100query,0.01,45
24,luminous-supreme-control_int100query,0.01,45
25,luminous-supreme-control_int100query,0.01,45
26,luminous-supreme-control_int100query,0.01,45
27,luminous-supreme-control_int100query,0.01,45
28,luminous-supreme-control_int100query,0.01,45
29,luminous-supreme-control_int100query,0.01,45
30,luminous-supreme-control_int100query,0.01,45
31,luminous-supreme-control_int100query,0.01,45
32,luminous-supreme-control_int100query,0.01,45
33,luminous-supreme-control_int100query,0.01,45
34,luminous-supreme-control_int100query,0.01,45
35,luminous-supreme-control_int100query,0.01,45
36,luminous-supreme-control_int100query,0.01,45
37,luminous-supreme-control_int100query,0.01,45
38,luminous-supreme-control_int100query,0.01,45
39,luminous-supreme-control_int100query,0.01,45
40,luminous-supreme-control_int100query,0.01,45
41,luminous-supreme-control_int100query,0.01,45
42,luminous-supreme-control_int100query,0.01,45
43,luminous-supreme-control_int100query,0.01,45
44,luminous-supreme-control_int100query,0.01,45
45,luminous-supreme-control_int100query,0.01,45
46,luminous-supreme-control_int100query,0.01,45
47,luminous-supreme-control_int100query,0.01,45
48,luminous-supreme-control_int100query,0.01,45
49,luminous-supreme-control_int100query,0.01,45
50,luminous-supreme-control_int100query,0.01,45
51,luminous-supreme-control_int100query,0.01,45
52,luminous-supreme-control_int100query,0.01,45
53,luminous-supreme-control_int100query,0.01,45
54,luminous-supreme-control_int100query,0.01,45
55,luminous-supreme-control_int100query,0.01,45
56,luminous-supreme-control_int100query,0.01,45
57,luminous-supreme-control_int100query,0.01,45
58,luminous-supreme-control_int100query,0.01,45
59,luminous-supreme-control_int100query,0.01,45
60,luminous-supreme-control_int100query,0.01,45
61,luminous-supreme-control_int100query,0.01,45
62,luminous-supreme-control_int100query,0.01,45
63,luminous-supreme-control_int100query,0.01,45
64,luminous-supreme-control_int100query,0.01,45
65,luminous-supreme-control_int100query,0.01,45
66,luminous-supreme-control_int100query,0.01,45
67,luminous-supreme-control_int100query,0.01,45
68,luminous-supreme-control_int100query,0.01,45
69,luminous-supreme-control_int100query,0.01,45
70,luminous-supreme-control_int100query,0.01,45
71,luminous-supreme-control_int100query,0.01,45
72,luminous-supreme-control_int100query,0.01,45
73,luminous-supreme-control_int100query,0.01,45
74,luminous-supreme-control_int100query,0.01,45
75,luminous-supreme-control_int100query,0.01,45
76,luminous-supreme-control_int100query,0.01,45
77,luminous-supreme-control_int100query,0.01,45
78,luminous-supreme-control_int100query,0.01,45
79,luminous-supreme-control_int100query,0.01,45
80,luminous-supreme-control_int100query,0.01,45
81,luminous-supreme-control_int100query,0.01,45
82,luminous-supreme-control_int100query,0.01,45
83,luminous-supreme-control_int100query,0.01,45
84,luminous-supreme-control_int100query,0.01,45
85,luminous-supreme-control_int100query,0.01,45
86,luminous-supreme-control_int100query,0.01,45
87,luminous-supreme-control_int100query,0.01,45
88,luminous-supreme-control_int100query,0.01,45
89,luminous-supreme-control_int100query,0.01,45
90,luminous-supreme-control_int100query,0.01,45
91,luminous-supreme-control_int100query,0.01,45
92,luminous-supreme-control_int100query,0.01,45
93,luminous-supreme-control_int100query,0.01,45
94,luminous-supreme-control_int100query,0.01,45
95,luminous-supreme-control_int100query,0.01,45
96,luminous-supreme-control_int100query,0.01,45
97,luminous-supreme-control_int100query,0.01,45
98,luminous-supreme-control_int100query,0.01,45
99,luminous-supreme-control_int100query,0.01,45
100,luminous-supreme-control_int100query,0.1,70
101,luminous-supreme-control_int100query,0.1,45
102,luminous-supreme-control_int100query,0.1,45
103,luminous-supreme-control_int100query,0.1,45
104,luminous-supreme-control_int100query,0.1,70
105,luminous-supreme-control_int100query,0.1,45
106,luminous-supreme-control_int100query,0.1,45
107,luminous-supreme-control_int100query,0.1,45
108,luminous-supreme-control_int100query,0.1,70
109,luminous-supreme-control_int100query,0.1,70
110,luminous-supreme-control_int100query,0.1,45
111,luminous-supreme-control_int100query,0.1,45
112,luminous-supreme-control_int100query,0.1,70
113,luminous-supreme-control_int100query,0.1,70
114,luminous-supreme-control_int100query,0.1,70
115,luminous-supreme-control_int100query,0.1,45
116,luminous-supreme-control_int100query,0.1,70
117,luminous-supreme-control_int100query,0.1,45
118,luminous-supreme-control_int100query,0.1,45
119,luminous-supreme-control_int100query,0.1,70
120,luminous-supreme-control_int100query,0.1,45
121,luminous-supreme-control_int100query,0.1,45
122,luminous-supreme-control_int100query,0.1,45
123,luminous-supreme-control_int100query,0.1,70
124,luminous-supreme-control_int100query,0.1,70
125,luminous-supreme-control_int100query,0.1,70
126,luminous-supreme-control_int100query,0.1,70
127,luminous-supreme-control_int100query,0.1,70
128,luminous-supreme-control_int100query,0.1,45
129,luminous-supreme-control_int100query,0.1,45
130,luminous-supreme-control_int100query,0.1,45
131,luminous-supreme-control_int100query,0.1,70
132,luminous-supreme-control_int100query,0.1,45
133,luminous-supreme-control_int100query,0.1,70
134,luminous-supreme-control_int100query,0.1,70
135,luminous-supreme-control_int100query,0.1,45
136,luminous-supreme-control_int100query,0.1,45
137,luminous-supreme-control_int100query,0.1,70
138,luminous-supreme-control_int100query,0.1,45
139,luminous-supreme-control_int100query,0.1,45
140,luminous-supreme-control_int100query,0.1,70
141,luminous-supreme-control_int100query,0.1,70
142,luminous-supreme-control_int100query,0.1,70
143,luminous-supreme-control_int100query,0.1,70
144,luminous-supreme-control_int100query,0.1,70
145,luminous-supreme-control_int100query,0.1,45
146,luminous-supreme-control_int100query,0.1,70
147,luminous-supreme-control_int100query,0.1,70
148,luminous-supreme-control_int100query,0.1,70
149,luminous-supreme-control_int100query,0.1,70
150,luminous-supreme-control_int100query,0.1,45
151,luminous-supreme-control_int100query,0.1,70
152,luminous-supreme-control_int100query,0.1,45
153,luminous-supreme-control_int100query,0.1,45
154,luminous-supreme-control_int100query,0.1,70
155,luminous-supreme-control_int100query,0.1,70
156,luminous-supreme-control_int100query,0.1,45
157,luminous-supreme-control_int100query,0.1,45
158,luminous-supreme-control_int100query,0.1,70
159,luminous-supreme-control_int100query,0.1,45
160,luminous-supreme-control_int100query,0.1,45
161,luminous-supreme-control_int100query,0.1,45
162,luminous-supreme-control_int100query,0.1,45
163,luminous-supreme-control_int100query,0.1,70
164,luminous-supreme-control_int100query,0.1,45
165,luminous-supreme-control_int100query,0.1,45
166,luminous-supreme-control_int100query,0.1,70
167,luminous-supreme-control_int100query,0.1,45
168,luminous-supreme-control_int100query,0.1,45
169,luminous-supreme-control_int100query,0.1,70
170,luminous-supreme-control_int100query,0.1,70
171,luminous-supreme-control_int100query,0.1,45
172,luminous-supreme-control_int100query,0.1,45
173,luminous-supreme-control_int100query,0.1,70
174,luminous-supreme-control_int100query,0.1,45
175,luminous-supreme-control_int100query,0.1,70
176,luminous-supreme-control_int100query,0.1,70
177,luminous-supreme-control_int100query,0.1,45
178,luminous-supreme-control_int100query,0.1,70
179,luminous-supreme-control_int100query,0.1,45
180,luminous-supreme-control_int100query,0.1,45
181,luminous-supreme-control_int100query,0.1,70
182,luminous-supreme-control_int100query,0.1,45
183,luminous-supreme-control_int100query,0.1,45
184,luminous-supreme-control_int100query,0.1,45
185,luminous-supreme-control_int100query,0.1,45
186,luminous-supreme-control_int100query,0.1,70
187,luminous-supreme-control_int100query,0.1,45
188,luminous-supreme-control_int100query,0.1,45
189,luminous-supreme-control_int100query,0.1,70
190,luminous-supreme-control_int100query,0.1,45
191,luminous-supreme-control_int100query,0.1,70
192,luminous-supreme-control_int100query,0.1,45
193,luminous-supreme-control_int100query,0.1,45
194,luminous-supreme-control_int100query,0.1,70
195,luminous-supreme-control_int100query,0.1,45
196,luminous-supreme-control_int100query,0.1,70
197,luminous-supreme-control_int100query,0.1,70
198,luminous-supreme-control_int100query,0.1,45
199,luminous-supreme-control_int100query,0.1,70
200,luminous-supreme-control_int100query,0.2,60
201,luminous-supreme-control_int100query,0.2,45
202,luminous-supreme-control_int100query,0.2,70
203,luminous-supreme-control_int100query,0.2,45
204,luminous-supreme-control_int100query,0.2,45
205,luminous-supreme-control_int100query,0.2,70
206,luminous-supreme-control_int100query,0.2,70
207,luminous-supreme-control_int100query,0.2,60
208,luminous-supreme-control_int100query,0.2,45
209,luminous-supreme-control_int100query,0.2,60
210,luminous-supreme-control_int100query,0.2,45
211,luminous-supreme-control_int100query,0.2,60
212,luminous-supreme-control_int100query,0.2,60
213,luminous-supreme-control_int100query,0.2,60
214,luminous-supreme-control_int100query,0.2,60
215,luminous-supreme-control_int100query,0.2,60
216,luminous-supreme-control_int100query,0.2,45
217,luminous-supreme-control_int100query,0.2,70
218,luminous-supreme-control_int100query,0.2,45
219,luminous-supreme-control_int100query,0.2,60
220,luminous-supreme-control_int100query,0.2,60
221,luminous-supreme-control_int100query,0.2,60
222,luminous-supreme-control_int100query,0.2,70
223,luminous-supreme-control_int100query,0.2,70
224,luminous-supreme-control_int100query,0.2,45
225,luminous-supreme-control_int100query,0.2,45
226,luminous-supreme-control_int100query,0.2,45
227,luminous-supreme-control_int100query,0.2,45
228,luminous-supreme-control_int100query,0.2,45
229,luminous-supreme-control_int100query,0.2,60
230,luminous-supreme-control_int100query,0.2,45
231,luminous-supreme-control_int100query,0.2,60
232,luminous-supreme-control_int100query,0.2,70
233,luminous-supreme-control_int100query,0.2,60
234,luminous-supreme-control_int100query,0.2,45
235,luminous-supreme-control_int100query,0.2,45
236,luminous-supreme-control_int100query,0.2,60
237,luminous-supreme-control_int100query,0.2,70
238,luminous-supreme-control_int100query,0.2,60
239,luminous-supreme-control_int100query,0.2,60
240,luminous-supreme-control_int100query,0.2,70
241,luminous-supreme-control_int100query,0.2,60
242,luminous-supreme-control_int100query,0.2,60
243,luminous-supreme-control_int100query,0.2,70
244,luminous-supreme-control_int100query,0.2,70
245,luminous-supreme-control_int100query,0.2,70
246,luminous-supreme-control_int100query,0.2,70
247,luminous-supreme-control_int100query,0.2,45
248,luminous-supreme-control_int100query,0.2,60
249,luminous-supreme-control_int100query,0.2,70
250,luminous-supreme-control_int100query,0.2,70
251,luminous-supreme-control_int100query,0.2,45
252,luminous-supreme-control_int100query,0.2,60
253,luminous-supreme-control_int100query,0.2,70
254,luminous-supreme-control_int100query,0.2,45
255,luminous-supreme-control_int100query,0.2,60
256,luminous-supreme-control_int100query,0.2,60
257,luminous-supreme-control_int100query,0.2,70
258,luminous-supreme-control_int100query,0.2,45
259,luminous-supreme-control_int100query,0.2,60
260,luminous-supreme-control_int100query,0.2,60
261,luminous-supreme-control_int100query,0.2,60
262,luminous-supreme-control_int100query,0.2,60
263,luminous-supreme-control_int100query,0.2,70
264,luminous-supreme-control_int100query,0.2,45
265,luminous-supreme-control_int100query,0.2,60
266,luminous-supreme-control_int100query,0.2,70
267,luminous-supreme-control_int100query,0.2,70
268,luminous-supreme-control_int100query,0.2,60
269,luminous-supreme-control_int100query,0.2,60
270,luminous-supreme-control_int100query,0.2,70
271,luminous-supreme-control_int100query,0.2,45
272,luminous-supreme-control_int100query,0.2,70
273,luminous-supreme-control_int100query,0.2,45
274,luminous-supreme-control_int100query,0.2,45
275,luminous-supreme-control_int100query,0.2,70
276,luminous-supreme-control_int100query,0.2,60
277,luminous-supreme-control_int100query,0.2,70
278,luminous-supreme-control_int100query,0.2,70
279,luminous-supreme-control_int100query,0.2,60
280,luminous-supreme-control_int100query,0.2,45
281,luminous-supreme-control_int100query,0.2,70
282,luminous-supreme-control_int100query,0.2,60
283,luminous-supreme-control_int100query,0.2,70
284,luminous-supreme-control_int100query,0.2,60
285,luminous-supreme-control_int100query,0.3,70
286,luminous-supreme-control_int100query,0.3,45
287,luminous-supreme-control_int100query,0.3,60
288,luminous-supreme-control_int100query,0.3,60
289,luminous-supreme-control_int100query,0.3,60
290,luminous-supreme-control_int100query,0.3,60
291,luminous-supreme-control_int100query,0.3,70
292,luminous-supreme-control_int100query,0.3,60
293,luminous-supreme-control_int100query,0.3,60
294,luminous-supreme-control_int100query,0.3,60
295,luminous-supreme-control_int100query,0.3,60
296,luminous-supreme-control_int100query,0.3,70
297,luminous-supreme-control_int100query,0.3,60
298,luminous-supreme-control_int100query,0.3,45
299,luminous-supreme-control_int100query,0.3,45
300,luminous-supreme-control_int100query,0.3,70
301,luminous-supreme-control_int100query,0.3,73
302,luminous-supreme-control_int100query,0.3,60
303,luminous-supreme-control_int100query,0.3,60
304,luminous-supreme-control_int100query,0.3,73
305,luminous-supreme-control_int100query,0.3,45
306,luminous-supreme-control_int100query,0.3,60
307,luminous-supreme-control_int100query,0.3,70
308,luminous-supreme-control_int100query,0.3,60
309,luminous-supreme-control_int100query,0.3,73
310,luminous-supreme-control_int100query,0.3,70
311,luminous-supreme-control_int100query,0.3,60
312,luminous-supreme-control_int100query,0.3,60
313,luminous-supreme-control_int100query,0.3,70
314,luminous-supreme-control_int100query,0.3,60
315,luminous-supreme-control_int100query,0.3,70
316,luminous-supreme-control_int100query,0.3,45
317,luminous-supreme-control_int100query,0.3,45
318,luminous-supreme-control_int100query,0.3,70
319,luminous-supreme-control_int100query,0.3,73
320,luminous-supreme-control_int100query,0.3,73
321,luminous-supreme-control_int100query,0.3,60
322,luminous-supreme-control_int100query,0.3,45
323,luminous-supreme-control_int100query,0.3,73
324,luminous-supreme-control_int100query,0.3,73
325,luminous-supreme-control_int100query,0.3,60
326,luminous-supreme-control_int100query,0.3,73
327,luminous-supreme-control_int100query,0.3,73
328,luminous-supreme-control_int100query,0.3,60
329,luminous-supreme-control_int100query,0.3,73
330,luminous-supreme-control_int100query,0.3,60
331,luminous-supreme-control_int100query,0.3,60
332,luminous-supreme-control_int100query,0.3,70
333,luminous-supreme-control_int100query,0.3,60
334,luminous-supreme-control_int100query,0.3,73
335,luminous-supreme-control_int100query,0.3,60
336,luminous-supreme-control_int100query,0.3,70
337,luminous-supreme-control_int100query,0.3,73
338,luminous-supreme-control_int100query,0.3,70
339,luminous-supreme-control_int100query,0.3,60
