idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,0.2,73
1,luminous-supreme-control_int100query,0.2,73
2,luminous-supreme-control_int100query,0.2,73
3,luminous-supreme-control_int100query,0.2,73
4,luminous-supreme-control_int100query,0.2,75
5,luminous-supreme-control_int100query,0.2,73
6,luminous-supreme-control_int100query,0.2,75
7,luminous-supreme-control_int100query,0.2,75
8,luminous-supreme-control_int100query,0.2,75
9,luminous-supreme-control_int100query,0.2,70
10,luminous-supreme-control_int100query,0.2,73
11,luminous-supreme-control_int100query,0.2,73
12,luminous-supreme-control_int100query,0.2,73
13,luminous-supreme-control_int100query,0.2,75
14,luminous-supreme-control_int100query,0.2,73
15,luminous-supreme-control_int100query,0.2,75
16,luminous-supreme-control_int100query,0.2,73
17,luminous-supreme-control_int100query,0.2,73
18,luminous-supreme-control_int100query,0.2,73
19,luminous-supreme-control_int100query,0.2,70
20,luminous-supreme-control_int100query,0.2,75
21,luminous-supreme-control_int100query,0.2,75
22,luminous-supreme-control_int100query,0.2,70
23,luminous-supreme-control_int100query,0.2,70
24,luminous-supreme-control_int100query,0.2,73
25,luminous-supreme-control_int100query,0.2,75
26,luminous-supreme-control_int100query,0.2,75
27,luminous-supreme-control_int100query,0.2,75
28,luminous-supreme-control_int100query,0.2,75
29,luminous-supreme-control_int100query,0.2,73
30,luminous-supreme-control_int100query,0.2,75
31,luminous-supreme-control_int100query,0.2,75
32,luminous-supreme-control_int100query,0.2,73
33,luminous-supreme-control_int100query,0.2,70
34,luminous-supreme-control_int100query,0.2,75
35,luminous-supreme-control_int100query,0.2,73
36,luminous-supreme-control_int100query,0.2,73
37,luminous-supreme-control_int100query,0.2,75
38,luminous-supreme-control_int100query,0.2,73
39,luminous-supreme-control_int100query,0.2,73
40,luminous-supreme-control_int100query,0.2,70
41,luminous-supreme-control_int100query,0.2,70
42,luminous-supreme-control_int100query,0.2,70
43,luminous-supreme-control_int100query,0.2,73
44,luminous-supreme-control_int100query,0.2,70
45,luminous-supreme-control_int100query,0.2,75
46,luminous-supreme-control_int100query,0.2,73
47,luminous-supreme-control_int100query,0.2,70
48,luminous-supreme-control_int100query,0.2,73
49,luminous-supreme-control_int100query,0.2,75
50,luminous-supreme-control_int100query,0.2,70
51,luminous-supreme-control_int100query,0.2,73
52,luminous-supreme-control_int100query,0.2,70
53,luminous-supreme-control_int100query,0.2,73
54,luminous-supreme-control_int100query,0.2,70
55,luminous-supreme-control_int100query,0.2,75
56,luminous-supreme-control_int100query,0.2,73
57,luminous-supreme-control_int100query,0.2,73
58,luminous-supreme-control_int100query,0.2,70
59,luminous-supreme-control_int100query,0.2,75
60,luminous-supreme-control_int100query,0.2,70
61,luminous-supreme-control_int100query,0.2,75
62,luminous-supreme-control_int100query,0.2,70
63,luminous-supreme-control_int100query,0.2,73
64,luminous-supreme-control_int100query,0.2,70
65,luminous-supreme-control_int100query,0.2,75
66,luminous-supreme-control_int100query,0.2,73
67,luminous-supreme-control_int100query,0.2,73
68,luminous-supreme-control_int100query,0.2,70
69,luminous-supreme-control_int100query,0.3,73
70,luminous-supreme-control_int100query,0.3,73
71,luminous-supreme-control_int100query,0.3,73
72,luminous-supreme-control_int100query,0.3,73
73,luminous-supreme-control_int100query,0.3,75
74,luminous-supreme-control_int100query,0.3,75
75,luminous-supreme-control_int100query,0.3,75
76,luminous-supreme-control_int100query,0.3,73
77,luminous-supreme-control_int100query,0.3,73
